Proben_ID	genotype	dps	treatment	dps_treatment	replicate	genotype_dps	genotype_treatment	genotype_dps_treatment	genotype_dps_treatment_replicate
K01	Solara	3	Control	3_C	1	SO_3	SO_C	SO_3_C	SO_3_C1
K02	Solara	3	Control	3_C	2	SO_3	SO_C	SO_3_C	SO_3_C2
K03	Solara	3	Control	3_C	3	SO_3	SO_C	SO_3_C	SO_3_C3
K04	Solara	3	Control	3_C	4	SO_3	SO_C	SO_3_C	SO_3_C4
K05	Solara	3	Heat	3_H	1	SO_3	SO_H	SO_3_H	SO_3_H1
K06	Solara	3	Heat	3_H	2	SO_3	SO_H	SO_3_H	SO_3_H2
K07	Solara	3	Heat	3_H	3	SO_3	SO_H	SO_3_H	SO_3_H3
K08	Solara	3	Heat	3_H	4	SO_3	SO_H	SO_3_H	SO_3_H4
K09	Solara	7	Control	7_C	1	SO_7	SO_C	SO_7_C	SO_7_C1
K10	Solara	7	Control	7_C	2	SO_7	SO_C	SO_7_C	SO_7_C2
K11	Solara	7	Control	7_C	3	SO_7	SO_C	SO_7_C	SO_7_C3
K12	Solara	7	Control	7_C	4	SO_7	SO_C	SO_7_C	SO_7_C4
K13	Solara	7	Heat	7_H	1	SO_7	SO_H	SO_7_H	SO_7_H1
K14	Solara	7	Heat	7_H	2	SO_7	SO_H	SO_7_H	SO_7_H2
K15	Solara	7	Heat	7_H	3	SO_7	SO_H	SO_7_H	SO_7_H3
K16	Solara	7	Heat	7_H	4	SO_7	SO_H	SO_7_H	SO_7_H4
K17	Solara	13	Control	13_C	1	SO_13	SO_C	SO_13_C	SO_13_C1
K18	Solara	13	Control	13_C	2	SO_13	SO_C	SO_13_C	SO_13_C2
K19	Solara	13	Control	13_C	3	SO_13	SO_C	SO_13_C	SO_13_C3
K20	Solara	13	Control	13_C	4	SO_13	SO_C	SO_13_C	SO_13_C4
K21	Solara	13	Heat	13_H	1	SO_13	SO_H	SO_13_H	SO_13_H1
K22	Solara	13	Heat	13_H	2	SO_13	SO_H	SO_13_H	SO_13_H2
K23	Solara	13	Heat	13_H	3	SO_13	SO_H	SO_13_H	SO_13_H3
K24	Solara	13	Heat	13_H	4	SO_13	SO_H	SO_13_H	SO_13_H4
K25	Cecile	3	Control	3_C	1	CE_3	CE_C	CE_3_C	CE_3_C1
K26	Cecile	3	Control	3_C	2	CE_3	CE_C	CE_3_C	CE_3_C2
K27	Cecile	3	Control	3_C	3	CE_3	CE_C	CE_3_C	CE_3_C3
K29	Cecile	3	Heat	3_H	1	CE_3	CE_H	CE_3_H	CE_3_H1
K30	Cecile	3	Heat	3_H	2	CE_3	CE_H	CE_3_H	CE_3_H2
K31	Cecile	3	Heat	3_H	3	CE_3	CE_H	CE_3_H	CE_3_H3
K32	Cecile	3	Heat	3_H	4	CE_3	CE_H	CE_3_H	CE_3_H4
K33	Cecile	7	Control	7_C	1	CE_7	CE_C	CE_7_C	CE_7_C1
K34	Cecile	7	Control	7_C	2	CE_7	CE_C	CE_7_C	CE_7_C2
K35	Cecile	7	Control	7_C	3	CE_7	CE_C	CE_7_C	CE_7_C3
K36	Cecile	7	Control	7_C	4	CE_7	CE_C	CE_7_C	CE_7_C4
K37	Cecile	7	Heat	7_H	1	CE_7	CE_H	CE_7_H	CE_7_H1
K38	Cecile	7	Heat	7_H	2	CE_7	CE_H	CE_7_H	CE_7_H2
K39	Cecile	7	Heat	7_H	3	CE_7	CE_H	CE_7_H	CE_7_H3
K40	Cecile	7	Heat	7_H	4	CE_7	CE_H	CE_7_H	CE_7_H4
K41	Cecile	13	Control	13_C	1	CE_13	CE_C	CE_13_C	CE_13_C1
K42	Cecile	13	Control	13_C	2	CE_13	CE_C	CE_13_C	CE_13_C2
K43	Cecile	13	Control	13_C	3	CE_13	CE_C	CE_13_C	CE_13_C3
K44	Cecile	13	Control	13_C	4	CE_13	CE_C	CE_13_C	CE_13_C4
K45	Cecile	13	Heat	13_H	1	CE_13	CE_H	CE_13_H	CE_13_H1
K46	Cecile	13	Heat	13_H	2	CE_13	CE_H	CE_13_H	CE_13_H2
K47	Cecile	13	Heat	13_H	3	CE_13	CE_H	CE_13_H	CE_13_H3
K48	Cecile	13	Heat	13_H	4	CE_13	CE_H	CE_13_H	CE_13_H4
